objid ra dec u g r i z
1237668355109683280 259.402418692959 43.1177751128415 22.19715 17.95842 16.8449 16.41661 16.19556
1237668355109683282 259.40542914372 43.14580536433 18.27368 17.20866 16.76087 16.56152 16.47887
1237668355109683293 259.405283948298 43.1176973977805 19.02378 17.97184 17.60256 17.43498 17.42825
1237668355109683294 259.396722594708 43.1349494418648 19.17803 17.85922 17.47884 17.3234 17.3916
1237668355109683318 259.407283367241 43.153828114726 19.75377 22.07981 21.4425 21.84806 20.82443
1237668355109683327 259.407188315611 43.122791241494 19.96396 19.25368 19.02911 18.94589 19.05886
1237668355109617859 259.378448385869 43.2025326772932 21.72945 22.28167 16.68728 16.36139 16.18589
1237668355109617860 259.384878363413 43.2023763400407 18.5197 17.34915 17.00039 20.32882 16.82452
1237668355109617861 259.403611856642 43.190282624758 19.56435 17.64826 16.94643 16.73398 16.64265
1237668355109617862 259.412434000442 43.1674933628844 18.50133 17.43692 16.94446 16.77173 16.71602
1237668355109617863 259.398085876331 43.1906458462294 18.57537 17.50966 17.03169 16.86435 16.78511
1237668355109617866 259.397712826975 43.1843574516166 21.35578 18.90215 17.83674 17.52295 17.37043
1237668355109617870 259.340683223431 43.2251683431593 19.23783 18.31073 18.00811 17.90766 17.93899
1237668355109617873 259.345155803567 43.226018142762 19.24916 21.35567 20.7343 20.32475 19.46942
1237668355109618015 259.380034640998 43.2104703502482 18.83867 17.81622 17.37151 17.20255 17.14791
1237668355109618016 259.38081163488 43.2086742136524 20.11205 19.18853 18.91823 18.8591 18.96019
1237668355109618017 259.382531020753 43.2088446535858 22.25249 22.19104 20.97519 20.85765 20.45791
1237668355109618019 259.378363659347 43.2126529337502 23.85753 22.79711 22.04335 21.70028 21.64492
1237668355109618020 259.380698527797 43.2123661966288 23.63615 23.50673 22.9831 21.9627 22.78267
1237668355109618021 259.382944350357 43.2100260601157 25.52117 24.09704 22.96743 22.28353 22.01294
1237668355109619237 259.375326163273 43.2113057023231 23.3969 22.08004 21.35529 21.00523 21.21693
1237668355109619409 259.411752662188 43.1616642140319 26.29417 24.2192 22.97058 23.85964 22.42389
1237668355109683279 259.412219011137 43.0993048098156 20.44234 17.65411 16.32068 15.72189 15.40672
1237668355109683283 259.40962551912 43.1036373119932 23.42099 18.51065 17.17167 16.60207 16.2803
1237668355109683295 259.410163242517 43.1056658386919 19.16009 18.0957 17.76479 17.62578 17.59478
1237668355109683296 259.42035438484 43.1438585209124 19.1158 18.01406 17.85629 17.76362 18.00411
1237668355109683302 259.41859437254 43.1440134907042 19.50849 18.45237 18.17355 17.97791 18.21213
1237668355109683321 259.414260304758 43.1549379149764 27.02993 28.00232 27.43556 17.09289 24.37038
1237668355109683323 259.410750332043 43.104255838616 20.20681 20.12366 24.80221 24.36106 22.82669
1237668355109683325 259.425393212314 43.1412068943856 23.69912 24.35554 22.53991 22.01311 22.45489
1237668355109684528 259.407726631524 43.1089860407072 22.73916 21.46898 21.09106 20.83374 20.64773
1237668678843957438 259.302595582969 43.2403364073639 21.54346 20.55849 20.2797 20.08193 20.09154
