objid ra dec u g r i z redshift
1237665442056833508 205.696568518053 28.4962718852525 24.50932 22.46425 20.65838 19.61635 19.19394 0.5843035
1237665428093796579 205.325138060124 27.9045545755556 19.52094 17.79616 16.99114 16.66271 16.35697 0.1053999
1237665428093862018 205.480061014148 27.8949167973361 18.70593 17.48521 16.81726 16.48321 16.24721 0.139527
1237665428093862041 205.384165055796 27.9591249069745 21.0266 19.08041 17.57953 17.02977 16.65473 0.2863025
1237665428093862490 205.466932893046 27.8780769352265 22.68772 22.11773 20.32882 19.52744 18.97441 0.4671688
1237665428093927602 205.568046626083 27.9113624897334 21.89901 20.18188 18.61945 18.03131 17.64074 0.304878
1237665428093927610 205.590789099556 27.9363074181836 21.71931 19.75563 18.1472 17.56809 17.13667 0.3067871
1237665428093927909 205.592216823785 27.9115044032252 23.2944 21.60724 20.5538 19.76638 19.48288 0.5725558
1237665428093928141 205.572998320135 27.8945355805071 23.63953 23.69501 21.81469 20.53168 19.89167 0.7695336
1237665428630536378 205.021499950476 28.3798395883462 19.1341 18.26874 17.99928 17.8588 19.48632 0.01548099
1237665428630536781 205.057531233807 28.448808678689 26.46783 22.27043 20.52603 19.38617 18.85664 0.5973821
1237665428630536853 205.055747623281 28.3057727974634 24.66752 22.2998 20.34699 19.53798 18.88553 0.4619707
1237665428630602167 205.089728579139 28.4358167404824 24.10611 22.23859 20.48812 19.54237 19.17776 0.5977998
1237665428630602458 205.189629084372 28.3884635029989 23.29267 21.60882 20.04743 19.21953 18.86026 0.5327237
1237665428630669419 205.280633480145 28.2664161096072 25.51763 22.45436 20.5495 19.72088 19.25873 0.4671794
1237665428630929473 205.931565565518 28.3267353458333 18.50762 16.94606 16.17353 15.7911 15.47398 0.0744736
1237665428630929512 205.995730305582 28.260443134657 18.69215 17.40921 16.86157 16.58554 16.40777 0.03895229
1237665428630929516 206.010506996856 28.3115668918689 20.18969 18.43627 17.41677 16.89572 16.50297 0.1171074
1237665428630929543 206.071882967925 28.306481747073 19.91094 18.09102 17.07133 16.61756 16.2497 0.1174921
1237665428630929549 206.034876281836 28.1092750464454 19.2902 18.0015 17.4195 17.10657 16.95915 0.07572602
1237665429167472662 205.284906426656 28.7784122813378 18.61232 18.05886 17.7244 17.262 17.4852 0.1675686
1237665429167472788 205.289045597886 28.785989493077 24.60172 22.19519 20.23346 19.30762 18.9236 0.4884651
1237665429167473260 205.252697604652 28.7623301921687 22.63671 21.77171 19.96729 19.06485 18.43603 0.487634
1237665429167473414 205.302430039753 28.8151091527756 23.79795 21.52441 20.30667 19.58249 19.13044 0.488763
1237665429167538270 205.357656122428 28.8391183968223 19.00512 17.76056 17.08019 16.73519 16.51983 0.1106961
1237665429167538342 205.401694023569 28.6674210602017 19.77589 17.84033 16.89502 16.47323 16.13527 0.09721437
1237665429167538660 205.320056210617 28.6524292186352 23.50244 21.52396 19.62931 18.72898 18.20212 0.4840153
1237665429167603917 205.562600526995 28.8136328088726 23.77673 20.72391 19.17752 18.39916 17.87551 0.4680644
1237665429167604457 205.556313546705 28.8105178685566 22.25207 21.64744 20.40841 19.63667 19.01796 0.4644052
1237665429167604489 205.567626833377 28.8112320495138 23.38215 21.3583 19.66677 18.82757 18.39396 0.464305
1237665429167604627 205.579052989297 28.6860491810173 23.38054 21.90192 20.25165 19.4077 18.94398 0.4731731
