objid ra dec u g r i z redshift
1237665567155946423 242.594336053661 14.911264414618 22.44188 21.85848 20.40317 19.53663 18.97179 0.4920909
1237665567155946667 242.649027966611 14.8523052211238 24.33597 22.51032 20.4367 19.54248 19.13081 0.4838417
1237665567156143205 243.000999690867 14.5925688582458 24.00068 22.55993 20.68826 19.41034 18.92276 0.6471017
1237665567692816832 242.743575493732 15.1143546550631 19.51545 18.3385 17.70615 17.36755 17.18281 0.1451377
1237665567692882133 242.777708761605 15.1015898010575 19.11175 17.94623 17.56733 17.32634 17.25582 0.07772461
1237665567692882298 242.948667763253 15.1669300100218 19.51966 18.12203 17.33174 16.82591 16.49257 0.08143199
1237665567692947820 243.07052149541 15.149944133874 18.47936 17.54521 17.23581 17.03672 16.87985 0.03245932
1237668337398251970 242.719111197674 14.6475327227379 19.77736 17.93083 17.05569 16.63084 16.35493 0.145865
1237665530650624515 242.473037648915 14.5924812382506 22.342 20.59716 18.86394 18.23983 17.91813 0.3409356
1237665530650624813 242.423225058227 14.6023348891667 21.17381 21.39895 20.1641 19.3258 18.84124 0.6199235
1237665530650755131 242.748324171243 14.502335765658 23.76032 21.61866 20.64318 19.58771 19.00806 -0.0005349714
1237665530650755982 242.775137877626 14.4892739068552 22.54741 21.86216 20.36885 19.53416 18.87943 0.5227256
1237665530650756078 242.816371543084 14.5108030086581 22.87195 21.8025 20.28308 19.40808 18.97876 0.4759925
1237665530650756121 242.809901254585 14.4405067454291 22.60614 21.13555 19.41013 18.66588 18.31153 0.4097785
1237665530650820840 242.86925134674 14.4941032555332 19.74875 17.86207 16.78458 16.33223 15.95864 0.131412
1237665530650820858 242.874745427463 14.4921682282756 20.65055 18.76485 17.67707 17.20259 16.87753 0.1308647
1237665530650821100 242.996804126937 14.4947450154116 24.69725 23.8109 21.39733 20.11017 20.10186 1.28108
1237665530650821246 242.984631802496 14.4899532700258 22.07563 21.00144 19.25332 18.57156 18.1688 0.4039885
1237665530650821613 242.996363892781 14.5020232526316 26.08926 22.00897 19.87745 18.79209 18.16325 0.6133313
1237665531187364042 242.416509432355 15.1455364574167 24.11519 23.55122 21.10013 19.94753 19.55241 0.6581665
1237665531187364056 242.375466898218 15.0355146132887 17.23553 16.309 16.07527 15.86742 15.72842 0.04635579
1237665531187429869 242.554348508435 14.9968899289026 19.70218 17.78046 16.6741 16.23749 15.83093 0.1322882
1237665531187495203 242.615035067937 14.9316021173991 23.04773 21.71797 20.111 19.23873 19.04049 0.4379421
1237665531187495858 242.609283553435 14.9559332088129 26.91198 21.07837 19.29983 18.64746 18.21626 0.3399163
1237665531187560668 242.851812622476 14.9104979099579 23.00724 23.63922 21.39363 20.37283 20.04245 0.5105438
1237665531187626341 242.943573007155 14.9646494069707 20.21759 18.58543 17.44413 16.98814 16.61793 0.1953543
1237665531187626742 242.886829917108 14.9647286030704 22.5283 22.41776 20.52369 19.59596 19.18877 0.4675679
1237665531187626946 242.902128524814 14.8583701178305 24.5482 22.05048 20.57773 19.53366 18.98501 0.5118302
1237665531187691685 243.090019878083 14.7991336065919 19.67167 20.22183 22.03833 18.1857 17.64868 0.03191475
1237665531187691878 243.075143211801 14.8505809494442 19.80258 18.256 17.35832 16.91046 16.54716 0.1310786
1237665531187757381 243.165810825005 14.7928181538814 19.20951 18.02797 17.60217 17.35075 17.20059 0.04623878
1237665531724300498 242.698736100781 15.3707400666301 19.73759 17.72819 16.71357 16.1934 15.78621 0.07759
1237665531724300633 242.605342185091 15.3540212552034 18.27641 16.4641 15.58006 15.1917 14.82297 0.07841503
